vart 5:e år,region,bostad,industri,totalt
2022,01 Stockholms län,387745,7350,958408
2022,03 Uppsala län,104283,2328,288840
2022,04 Södermanlands län,95973,2060,289193
2022,05 Östergötlands län,131947,3565,387879
2022,06 Jönköpings län,114553,5371,337862
2022,07 Kronobergs län,71332,2295,230825
2022,08 Kalmar län,114505,3857,338628
2022,09 Gotlands län,32313,487,96220
2022,10 Blekinge län,61700,1405,198024
2022,12 Skåne län,339397,11639,986981
2022,13 Hallands län,121333,3815,358011
2022,14 Västra Götalands län,467317,15153,1215961
2022,17 Värmlands län,118628,3359,334054
2022,18 Örebro län,93706,3047,267780
2022,19 Västmanlands län,72368,2373,210020
2022,20 Dalarnas län,159399,3642,472242
2022,21 Gävleborgs län,116579,3566,395091
2022,22 Västernorrlands län,111275,3178,305820
2022,23 Jämtlands län,94014,1851,253801
2022,24 Västerbottens län,121874,3217,372746
2022,25 Norrbottens län,114708,3721,382717
