vart 5:e år,region,småhus friliggande,småhus kedjehus,småhus flera lägenheter,småhus radhus,flerbostadshus,ospecificerat,totalt
2022,01 Stockholms län,69.1,8.6,1.1,12.4,8.4,0.4,100.0
2022,03 Uppsala län,80.3,6.9,1.0,3.8,6.1,2.0,100.0
2022,04 Södermanlands län,83.1,5.1,1.0,4.3,5.5,1.0,100.0
2022,05 Östergötlands län,79.7,6.7,1.6,5.4,6.5,0.1,100.0
2022,06 Jönköpings län,85.6,4.3,1.3,2.9,5.9,0.0,100.0
2022,07 Kronobergs län,86.0,4.1,1.9,1.3,5.0,1.6,100.0
2022,08 Kalmar län,87.8,3.2,0.9,2.0,4.1,2.0,100.0
2022,09 Gotlands län,91.5,2.6,2.0,0.7,3.1,0.0,100.0
2022,10 Blekinge län,88.7,3.4,0.8,1.6,4.0,1.5,100.0
2022,12 Skåne län,77.3,8.6,2.5,5.6,5.9,0.0,100.0
2022,13 Hallands län,87.0,4.3,1.8,3.0,3.9,0.1,100.0
2022,14 Västra Götalands län,81.3,4.7,1.5,6.5,5.7,0.4,100.0
2022,17 Värmlands län,85.0,3.2,0.8,1.9,4.5,4.6,100.0
2022,18 Örebro län,83.2,6.6,1.3,2.5,5.8,0.7,100.0
2022,19 Västmanlands län,77.8,7.4,0.8,7.9,6.1,0.0,100.0
2022,20 Dalarnas län,89.2,3.1,1.3,1.1,3.5,1.7,100.0
2022,21 Gävleborgs län,87.2,3.2,1.4,2.9,4.4,0.8,100.0
2022,22 Västernorrlands län,88.5,2.9,0.2,2.4,4.6,1.3,100.0
2022,23 Jämtlands län,86.4,2.2,1.3,1.7,3.5,4.9,100.0
2022,24 Västerbottens län,83.6,2.9,0.5,4.0,5.0,4.0,100.0
2022,25 Norrbottens län,89.5,2.8,0.5,1.5,4.2,1.5,100.0
