Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WdayWint:0.0;105;93;85;85;88;91;100;101;104;110;109;101;105;108;115;125;136;144;151;159;150;140;123;108
WdayWint:0.0std;215;178;150;140;159;188;206;215;225;206;206;225;234;244;282;309;338;338;328;338;347;338;328;300
WdayWint:5.0;105;93;85;85;88;91;100;101;104;110;109;101;105;108;115;125;136;144;151;159;150;140;123;108
WdayWint:5.0std;215;178;150;140;159;188;206;215;225;206;206;225;234;244;282;309;338;338;328;338;347;338;328;300
WendWint:0.0;108;98;90;85;84;84;89;89;95;108;113;113;123;128;136;139;145;149;153;154;141;131;118;105
WendWint:0.0std;196;169;150;140;140;150;169;196;225;225;244;263;282;300;338;338;347;347;357;347;338;319;300;290
WendWint:5.0;108;98;90;85;84;84;89;89;95;108;113;113;123;128;136;139;145;149;153;154;141;131;118;105
WendWint:5.0std;196;169;150;140;140;150;169;196;225;225;244;263;282;300;338;338;347;347;357;347;338;319;300;290
WdayAut:5.0;75;69;66;68;73;79;86;90;93;95;100;95;98;99;105;115;123;131;139;136;126;116;98;83
WdayAut:5.0std;121;94;94;94;103;131;140;169;169;159;169;178;188;188;206;244;253;263;263;253;244;234;206;188
WdayAut:0.0;75;69;66;68;73;79;86;90;93;95;100;95;98;99;105;115;123;131;139;136;126;116;98;83
WdayAut:0.0std;121;94;94;94;103;131;140;169;169;159;169;178;188;188;206;244;253;263;263;253;244;234;206;188
WendAut:5.0;80;74;69;66;66;66;74;80;88;101;105;106;108;111;114;118;120;124;128;128;115;109;96;81
WendAut:5.0std;121;103;84;84;84;94;121;159;178;188;196;215;206;225;234;234;244;244;244;234;225;206;196;169
WendAut:0.0;80;74;69;66;66;66;74;80;88;101;105;106;108;111;114;118;120;124;128;128;115;109;96;81
WendAut:0.0std;121;103;84;84;84;94;121;159;178;188;196;215;206;225;234;234;244;244;244;234;225;206;196;169
WdaySum:8.0;70;64;61;61;58;60;66;73;75;79;81;81;83;81;85;89;94;98;100;101;100;93;88;74
WdaySum:8.0std;84;84;75;75;75;84;94;121;140;140;150;178;178;169;188;196;206;206;215;206;196;188;169;140
WdaySum:5.0;70;64;61;61;58;60;66;73;75;79;81;81;83;81;85;89;94;98;100;101;100;93;88;74
WdaySum:5.0std;84;84;75;75;75;84;94;121;140;140;150;178;178;169;188;196;206;206;215;206;196;188;169;140
WendSum:8.0;74;66;64;61;56;55;59;65;71;78;84;83;88;86;83;84;86;89;88;96;94;90;86;75
WendSum:8.0std;84;84;75;75;75;75;84;103;131;140;159;178;178;188;188;188;188;196;196;206;196;188;169;140
WendSum:5.0;74;66;64;61;56;55;59;65;71;78;84;83;88;86;83;84;86;89;88;96;94;90;86;75
WendSum:5.0std;84;84;75;75;75;75;84;103;131;140;159;178;178;188;188;188;188;196;196;206;196;188;169;140
