Time,Max,Mean,Min
00:00,1663.0,1209.8912891986063,772.0
01:00,1627.0,1196.7149825783972,765.0
02:00,1614.0,1194.3303135888502,768.0
03:00,1610.0,1207.1898954703834,775.0
04:00,1663.0,1266.0547038327527,824.0
05:00,1938.0,1430.3937282229965,884.0
06:00,2178.0,1659.2146341463415,942.0
07:00,2264.0,1809.5369337979093,986.0
08:00,2357.0,1847.2616724738675,1007.0
09:00,2420.0,1865.7923344947735,1000.0
10:00,2463.0,1875.0700348432056,1012.0
11:00,2417.0,1850.8062717770035,1004.0
12:00,2383.0,1836.4613240418118,995.0
13:00,2383.0,1818.1696864111498,967.0
14:00,2377.0,1780.3149825783971,941.0
15:00,2309.0,1698.6285714285714,921.0
16:00,2209.0,1611.7024390243903,886.0
17:00,2120.0,1545.473519163763,849.0
18:00,2084.0,1495.2198606271777,819.0
19:00,2031.0,1449.8968641114982,802.0
20:00,1979.0,1396.9822299651569,796.0
21:00,1915.0,1339.2961672473868,820.0
22:00,1781.0,1277.8655052264808,816.0
23:00,1716.0,1229.560975609756,797.0
